Name,Category,Description,URL,Marketing language,Company Response
Here,Entertainment / Navigation,"Provides data feeds for traffic information, mapping services, last mile delivery data. Registered as a data broker in Calif. Acquired by BMW Group in 2015.",https://www.here.com/platform,"2m+ developers in our ecosystem
100b+ API calls/month
30m connected vehicle supply base
200+ countries and territories covered","""We serve customers across industries, and we are a longtime partner of the automotive industry. HERE data and services power vehicle turn-by-turn navigation, real-time traffic information, and numerous services for electric, connected, and automated vehicle systems.

Licensed products from HERE use aggregated and anonymized data. HERE uses licensed vehicle movement data to develop and sell high-value services such as traffic, routing, and other data products for its customers.

Data privacy is fundamental. HERE has implemented advanced anonymization technologies which remove personally identifiable attributes from data, thereby, preserving the privacy rights of individuals."" —Kasey Farrar, spokesperson. "
OnStar (GM),Entertainment / Navigation,"Roadside assistance, vehicle recovery, navigation, family tracking service, and app. Owned by GM.",https://www.onstar.com/,,"“We take privacy seriously and are committed to safeguarding customer information. For details on our vehicle data collection practices, please see our privacy statement posted on OnStar.com.” —Juli Huston-Rough, executive director GM Brand Communications"
Sirius XM,Entertainment / Navigation,"Satellite and streaming audio service. Sirius XM Connected Vehicle Services offers roadside assistance, navigation, crash notification, vehicle recovery, and family tracking.",https://www.siriusxmcvs.com/,Our expertise in lifecycle strategy provides an optimal customer experience from the time of vehicle purchase until the vehicle is sold.,The company declined comment on the record and referred us to its privacy policy: https://www.siriusxmcvs.com/privacy-policy/
Telenav,Entertainment / Navigation,"In-vehicle infotainment, navigation, and third-party apps for “in car commerce,” such as ordering fast food.",https://www.telenav.com/products/vivid-ivi,Over 20 million vehicles on the road today use our connected services. We serve the world. Our solution has been engineered for use in 120+ countries.,The company did not respond to a request for comment.
TomTom,Entertainment / Navigation,"Builds navigation services and maps for several car manufacturers, as well as standalone consumer GPS devices. Sells historical traffic data and analytics.",https://www.tomtom.com/en_us/,"Over 600 million connected devices
contributing to location data.
Up to 5.0 billion km of live trip data collected
every day, equivalent to 100 million driving
hours.
4.5 trillion km of trip data archived since
2008, equivalent to 88 billion driving hours.",The company did not respond to a request for comment.
Xevo,Entertainment / Navigation,"In-vehicle infotainment, navigation, and third-party apps for retail transactions.",https://www.xevo.com/xevo-market/#xevo-market-merchants,"Xevo Glass allows automakers to retain complete control of vehicle-generated data while delivering drivers the most technologically advanced user experience.

Our powerful software solutions leverage analytics and data insights to provide an AI-enhanced driving experience for consumers, along with monetization opportunities for automakers, merchant partners, and service providers",The company did not respond to a request for comment.
Allstate,Insurance companies,"Offers ""Drivewise"" app to track drivers in exchange for discounts; owns Arity vehicle data company.",https://www.allstate.com/drive-wise.aspx,"Get a 10% discount on your policy just for signing up and another 6% by remaining active in the program. To help you save more, avoid behaviors like speeding, sudden braking and late-night driving.",The company did not respond to a request for comment.
Arity,Insurance companies,"Allstate's data company. Collects data from OBD devices, apps, and OEM integrations, and sell insights and data. Advertises for applications including insurance, advertising, and rideshare apps. Buys location data from family safety app Life360.",https://www.arity.com/solutions/data-services/,"With more than 30M active connections and nearly 1B miles of first-party driving data collected every day, we provide unique insights into how people get from point A to point B.",The company did not respond to a request for comment.
Farmer's Insurance,Insurance companies,"Offers ""Signal"" app to track drivers in exchange for discounts; built and operated by Cambridge Mobile Telematics. Shares ""anonymized"" data with partners.",https://www.farmers.com/signal/,"Safe driving behaviors reflected in the data collected from the Signal app could result in a policy premium discount at renewal. Riskier driving behaviors, however, could result in a higher renewal premium rather than a discount.",The company did not respond to a request for comment.
Geico,Insurance companies,"Offers ""DriveEasy"" app that monitors your driving in exchange for possible discounts (or surcharges). Requires access to precise location ""always.""",https://www.geico.com/driveeasy/,"DriveEasy looks for things like phone use, speed, and hard braking. Your score is based on how many times we detect these things during a trip.",The company did not respond to a request for comment.
